,Name,Type,Alias,Rating,Num_Reviews,THC%,Other_Cannabinoids,Main_Effect,Terpene
1104,Cornbread,Indica,NA,4.6,171,THC 22%,CBG 1%,Sleepy,Myrcene
1105,C4,Hybrid,NA,4.4,101,THC 19%,CBD 0%,Relaxed,Myrcene
1106,Bootylicious,Hybrid,NA,4.8,28,THC 18%,CBD 0%,Talkative,Pinene
1107,Sky Walker Diesel,Unknown,NA,4.9,10,THC —,CBD —,Hungry,
1108,Grateful Breath,Hybrid,NA,4.8,24,THC —,CBD —,Sleepy,
1109,Cookies and Chem,Hybrid,aka Cookies n Chem,4.5,19,THC 22%,CBG 1%,Focused,Limonene
1110,Dog Patch,Hybrid,NA,4.4,27,THC —,CBD —,Talkative,
1111,Blue Biscotti,Hybrid,NA,4.8,5,THC —,CBD —,Euphoric,
1112,Platinum Runtz,Hybrid,NA,4.4,7,THC —,CBD —,,
1113,Zour Apples,Hybrid,NA,4.4,23,THC —,CBD —,Relaxed,
1114,Wild Thailand,Sativa,NA,4.5,37,THC 10%,THCV 4%,Energetic,Myrcene
1115,Double Stuffed,Hybrid,NA,4.6,7,THC 25%,CBG 2%,Relaxed,Limonene
1116,Cherry Cake,Hybrid,"aka OG Cherry Cake, Cherry Cake OG",4.8,5,THC 17%,CBD 0%,Tingly,Myrcene
1117,Critical Widow,Hybrid,aka Critical White Widow,4.3,41,THC 21%,CBG 1%,Uplifted,Limonene
1118,Wedding Cheesecake,Hybrid,NA,4.3,8,THC —,CBD —,Relaxed,
1119,Shoreline,Hybrid,NA,4.3,106,THC —,CBD —,Euphoric,
1120,Sour Candy,Hybrid,NA,4.5,48,THC 16%,CBG 1%,Creative,Myrcene
1121,Chronic Thunder,Indica,aka Kronic Thunder,4.5,96,THC 20%,CBG 2%,Sleepy,Myrcene
1122,Bazooka Joe G,Hybrid,aka Bazooka Bumble,4.7,6,THC 14%,CBD 0%,Aroused,Caryophyllene
1123,Doug's Varin,Sativa,NA,4.9,21,THC —,CBD —,Focused,
1124,African,Sativa,NA,3.8,50,THC —,CBD —,Energetic,
1125,Koffee Cake,Hybrid,aka Coffee Cake,4.7,11,THC 18%,CBG 1%,Hungry,Myrcene
1126,Freakshow,Hybrid,NA,4.2,6,THC —,CBD —,Creative,
1127,Funfetti,Hybrid,NA,4.7,41,THC 20%,CBD 0%,Happy,Caryophyllene
1128,Bordello,Hybrid,NA,4.3,105,THC —,CBD —,Tingly,
1129,Prenup,Hybrid,"aka Pre Nup, Pre-Nup",4.8,23,THC —,CBD —,Aroused,
